"RENTAL_ZONE_HAL_ID";"RENTAL_ZONE_HAL_SRC";"NAME";"CODE";"TYPE";"CITY";"COUNTRY";"LATITUDE";"LONGITUDE";"POI_AIRPORT_X";"POI_LONG_DISTANCE_TRAINS_X";"POI_SUBURBAN_TRAINS_X";"POI_UNDERGROUND_X";"ACTIVE_X";"COMPANY";"COMPANY_GROUP"
"402093";"Station";"Zahn-Notter-Strasse";"ZAHN";"stationbased";"Stuttgart";"Deutschland";"48,832488840721396";"9,162163138389587";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402212";"Station";"Palanterstraße";"PAL";"stationbased";"Stuttgart";"Deutschland";"50,922622976381740";"6,926107406616211";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402230";"Station";"Klotzstrasse";"KLOTZ";"stationbased";"Stuttgart";"Deutschland";"48,796487727251810";"9,209842085838318";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402235";"Station";"Burgstallstraße 76-82";"BURG";"stationbased";"Stuttgart";"Deutschland";"48,756705099505790";"9,147266149520874";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402270";"Station";"Relexa Waldhotel";"RELEXA";"stationbased";"Stuttgart";"Deutschland";"48,754363859067560";"9,088096618652344";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402298";"Station";"Klingenstraße";"KLI";"stationbased";"Stuttgart";"Deutschland";"48,777182764162454";"9,208085238933563";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402321";"Station";"Feuerbacher Weg";"FEU";"stationbased";"Stuttgart";"Deutschland";"48,800883498539270";"9,162023663520813";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402322";"Station";"Freibad";"Freibad";"stationbased";"Stuttgart";"Deutschland";"48,727675913839580";"9,102044105529785";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402341";"Station";"Neckarstraße";"BRUHN";"stationbased";"Stuttgart";"Deutschland";"48,793722504942245";"9,202911257743835";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402346";"Station";"Tübinger Straße";"TÜB";"stationbased";"Stuttgart";"Deutschland";"48,771144462667160";"9,173224568367004";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
